Dataset,#TrainingRelease,%Training (data on training / total data),%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
openjpaProportion_without_duplicated_lines,8,0.31,0.802,0.864,RandomForest,UNDERSAMPLING,NONE,NONE,495.0,13.0,86.0,134.0,0.974,0.787,0.891,0.433
openjpaProportion_without_duplicated_lines,8,0.31,0.802,0.864,NaiveBayes,UNDERSAMPLING,NONE,NONE,323.0,11.0,88.0,306.0,0.967,0.514,0.837,0.178
openjpaProportion_without_duplicated_lines,8,0.31,0.802,0.864,Ibk,UNDERSAMPLING,NONE,NONE,470.0,31.0,68.0,159.0,0.938,0.747,0.796,0.281
openjpaProportion_without_duplicated_lines,9,0.343,0.809,0.616,RandomForest,UNDERSAMPLING,NONE,NONE,1353.0,694.0,222.0,118.0,0.661,0.92,0.764,0.184
openjpaProportion_without_duplicated_lines,9,0.343,0.809,0.616,NaiveBayes,UNDERSAMPLING,NONE,NONE,838.0,147.0,769.0,633.0,0.851,0.57,0.747,0.372
openjpaProportion_without_duplicated_lines,9,0.343,0.809,0.616,Ibk,UNDERSAMPLING,NONE,NONE,1337.0,724.0,192.0,134.0,0.649,0.909,0.571,0.135
openjpaProportion_without_duplicated_lines,10,0.454,0.762,0.838,RandomForest,UNDERSAMPLING,NONE,NONE,862.0,73.0,115.0,113.0,0.922,0.884,0.81,0.457
openjpaProportion_without_duplicated_lines,10,0.454,0.762,0.838,NaiveBayes,UNDERSAMPLING,NONE,NONE,188.0,5.0,183.0,787.0,0.974,0.193,0.781,0.062
openjpaProportion_without_duplicated_lines,10,0.454,0.762,0.838,Ibk,UNDERSAMPLING,NONE,NONE,636.0,78.0,110.0,339.0,0.891,0.652,0.645,0.152
openjpaProportion_without_duplicated_lines,11,0.508,0.77,0.686,RandomForest,UNDERSAMPLING,NONE,NONE,916.0,44.0,611.0,512.0,0.954,0.641,0.826,0.481
openjpaProportion_without_duplicated_lines,11,0.508,0.77,0.686,NaiveBayes,UNDERSAMPLING,NONE,NONE,365.0,25.0,630.0,1063.0,0.936,0.256,0.79,0.152
openjpaProportion_without_duplicated_lines,11,0.508,0.77,0.686,Ibk,UNDERSAMPLING,NONE,NONE,1046.0,485.0,170.0,382.0,0.683,0.732,0.504,-0.008
openjpaProportion_without_duplicated_lines,12,0.605,0.756,0.728,RandomForest,UNDERSAMPLING,NONE,NONE,238.0,15.0,167.0,249.0,0.941,0.489,0.734,0.29
openjpaProportion_without_duplicated_lines,12,0.605,0.756,0.728,NaiveBayes,UNDERSAMPLING,NONE,NONE,168.0,2.0,180.0,319.0,0.988,0.345,0.79,0.216
openjpaProportion_without_duplicated_lines,12,0.605,0.756,0.728,Ibk,UNDERSAMPLING,NONE,NONE,236.0,42.0,140.0,251.0,0.849,0.485,0.65,0.187
openjpaProportion_without_duplicated_lines,13,0.636,0.755,0.724,RandomForest,UNDERSAMPLING,NONE,NONE,366.0,31.0,177.0,179.0,0.922,0.672,0.789,0.428
openjpaProportion_without_duplicated_lines,13,0.636,0.755,0.724,NaiveBayes,UNDERSAMPLING,NONE,NONE,176.0,7.0,201.0,369.0,0.962,0.323,0.764,0.188
openjpaProportion_without_duplicated_lines,13,0.636,0.755,0.724,Ibk,UNDERSAMPLING,NONE,NONE,335.0,48.0,160.0,210.0,0.875,0.615,0.73,0.309
openjpaProportion_without_duplicated_lines,14,0.671,0.753,0.701,RandomForest,UNDERSAMPLING,NONE,NONE,296.0,29.0,178.0,190.0,0.911,0.609,0.782,0.383
openjpaProportion_without_duplicated_lines,14,0.671,0.753,0.701,NaiveBayes,UNDERSAMPLING,NONE,NONE,145.0,5.0,202.0,341.0,0.967,0.298,0.776,0.187
